,word,positive,negative,p_early,n_early,p_late,n_late
0,play,529,97,120,21,71,11
1,leave,69,23,16,4,15,4
2,become,269,71,52,10,57,16
3,statius,85,16,15,4,11,0
4,unusual,86,11,21,1,20,2
5,think,506,126,119,26,82,16
6,ch,62,25,13,4,15,6
7,highly,358,52,64,14,98,12
8,emperor,162,44,36,12,33,6
9,aside,104,42,20,9,27,10
10,north,88,19,11,5,15,2
11,pointed,59,26,9,5,7,5
12,alike,109,9,20,4,27,1
13,reveals,107,26,14,6,28,4
14,demonstrating,72,6,13,1,21,2
15,next,208,39,29,3,50,11
16,erotic,67,27,11,5,19,4
17,varied,91,9,8,1,21,3
18,evidence,1560,325,273,73,317,49
19,law,356,63,71,10,72,11
20,sparta,69,21,20,6,3,2
21,lines,358,148,79,32,56,14
22,associations,70,15,12,5,18,3
23,wars,80,21,14,0,14,5
24,treat,61,19,17,4,9,2
25,appeared,111,22,17,5,22,6
26,decision,120,44,20,8,42,7
27,tragic,135,36,26,7,26,2
28,elegy,87,17,17,3,14,2
29,variants,61,20,17,6,12,1
30,'t,69,23,18,10,1,0
31,philology,79,11,20,7,13,0
32,treatise,114,18,16,7,29,2
33,live,55,17,13,4,6,3
34,justice,171,35,23,5,30,4
35,official,57,17,13,2,8,5
36,&,130,46,26,9,9,1
37,warfare,61,19,7,3,18,2
38,side,209,47,26,10,36,13
39,examining,74,14,8,4,24,1
40,63,30,22,5,5,6,2
41,contrast,258,74,41,17,49,14
42,actual,184,49,30,9,46,10
43,criticism,325,97,57,22,60,22
44,look,271,39,43,8,60,12
45,series,544,63,94,16,120,12
46,specialist,86,15,11,3,24,4
47,color,87,20,11,1,18,6
48,forms,385,68,56,12,88,14
49,class,128,22,26,6,28,1
50,'the,714,173,97,27,157,29
51,upon,366,99,57,10,64,23
52,infelicities,16,33,3,5,4,7
53,statement,137,77,21,14,21,8
54,82,28,18,7,5,6,7
55,would,3513,637,600,125,743,109
56,remain,150,56,24,13,34,15
57,high,280,80,53,8,67,14
58,n8,116,47,17,10,19,11
59,biblical,77,13,7,2,23,6
60,collection,871,82,138,10,200,19
61,draw,143,16,22,4,29,2
62,word,384,148,61,26,75,28
63,remarkably,72,27,13,1,9,5
64,constitute,56,22,12,5,16,4
65,trade,99,19,10,5,31,4
66,committed,35,19,9,2,4,4
67,catalogue,249,45,51,12,38,10
68,dramatic,126,37,26,7,16,14
69,theoretical,238,52,30,10,77,10
70,indicates,81,32,14,7,27,2
71,influenced,94,23,11,4,22,5
72,return,95,24,15,3,14,3
73,song,68,14,10,2,7,4
74,lucian,85,17,10,1,3,1
75,contribution,799,71,108,12,235,21
76,theories,155,40,23,7,29,8
77,white,89,15,11,1,21,1
78,1999,67,15,11,5,10,3
79,buildings,75,15,15,2,16,6
80,previously,114,20,19,4,36,7
81,augustine,170,28,28,1,45,7
82,potentially,101,17,21,4,25,4
83,adequate,46,20,9,9,4,2
84,tends,56,21,12,6,8,4
85,e.,200,55,26,10,29,7
86,making,395,78,60,16,97,14
87,told,79,24,16,4,9,4
88,like,992,273,180,64,196,55
89,comedy,259,66,54,23,43,9
90,unless,46,31,14,8,3,3
91,selections,48,18,8,3,11,5
92,ought,89,26,18,5,12,4
93,clever,38,19,10,5,5,2
94,commentators,66,19,18,4,7,5
95,75,23,27,5,3,2,7
96,thought-provoking,100,5,13,0,31,0
97,inaccuracies,15,25,4,4,1,7
98,e.g.,319,160,65,35,53,34
99,carried,63,20,11,5,9,2
100,public,388,74,84,11,80,11
101,senses,36,17,3,2,7,2
102,cult,239,30,58,14,45,3
103,preserved,114,14,20,2,30,2
104,government,80,14,13,4,14,0
105,meant,158,52,31,7,30,10
106,among,614,120,92,21,138,25
107,pliny,138,30,28,9,12,4
108,force,119,29,28,6,18,1
109,entry,125,41,23,12,26,7
110,better,438,89,77,15,85,14
111,ways,489,70,78,14,106,12
112,whereas,166,41,30,5,27,8
113,literal,70,23,23,3,9,3
114,europe,79,12,15,0,16,3
115,bring,159,23,19,6,40,5
116,current,303,29,45,3,75,11
117,theological,70,11,6,1,16,2
118,goods,85,10,5,2,23,2
119,mean,138,46,15,9,35,12
120,affect,24,23,3,3,4,7
121,wall,82,12,10,1,24,5
122,collected,92,12,20,1,24,2
123,hence,98,35,21,5,19,5
124,94,25,20,5,4,2,1
125,j,51,21,6,3,3,0
126,introductory,261,23,39,4,59,6
127,suggestion,190,39,39,6,44,7
128,demonstrate,110,23,17,1,25,5
129,sensitive,69,8,12,3,10,1
130,something,448,100,81,15,77,13
131,readers,1007,199,141,36,230,39
132,–,324,75,0,0,302,70
133,natural,188,50,19,8,38,5
134,surely,282,78,48,15,60,11
135,women,532,98,107,24,82,14
136,-,88,27,11,3,14,9
137,heavily,45,18,9,5,10,2
138,fields,101,6,15,1,26,0
139,explain,204,76,37,19,46,11
140,already,409,116,71,25,85,21
141,western,136,27,18,4,35,6
142,male,125,32,15,3,22,4
143,passage,323,108,57,21,63,25
144,reviews,70,12,13,4,17,2
145,oxford,165,35,34,10,33,3
146,trial,48,28,12,9,8,2
147,concern,145,39,25,3,34,7
148,numerous,243,98,43,16,70,18
149,identifies,97,25,17,3,34,6
150,equally,202,35,31,10,42,4
151,layout,46,22,4,1,12,3
152,roles,81,15,16,4,11,3
153,metaphor,79,12,19,1,12,1
154,manner,169,32,34,7,27,7
155,causes,46,21,6,5,7,5
156,referred,83,31,18,4,14,6
157,philosophy,516,102,87,15,110,24
158,edited,174,68,20,8,36,20
159,book,5179,1040,828,173,1083,213
160,likely,303,77,51,7,59,12
161,comprehensive,264,28,37,3,63,5
162,individual,573,102,91,18,130,13
163,aeneas,83,26,14,3,11,4
164,allowed,78,23,19,2,20,2
165,pages,472,142,78,25,103,27
166,noticed,39,119,6,12,9,26
167,meanings,68,17,6,2,10,6
168,related,214,62,32,10,52,10
169,alleged,37,31,2,5,8,3
170,drawing,169,23,22,1,37,5
171,seeks,76,17,14,3,14,6
172,greatest,63,29,13,2,12,6
173,ends,198,33,39,5,34,9
174,setting,113,25,19,5,17,3
175,give,388,90,70,22,70,13
176,widely,99,23,15,3,23,4
177,sort,214,55,42,10,43,12
178,mention,232,139,43,20,37,30
179,application,100,19,23,5,9,2
180,augustus,156,46,22,9,33,5
181,avoided,39,29,6,6,5,9
182,changed,58,26,7,5,15,3
183,1,1073,289,180,36,255,58
184,thus,735,179,122,27,147,39
185,misleading,78,50,20,7,11,7
186,bmcr,114,18,21,1,24,7
187,special,164,21,35,3,29,3
188,renders,40,17,7,1,11,6
189,slave,95,23,12,4,33,5
190,really,322,85,64,20,52,20
191,gap,71,15,13,5,19,3
192,bringing,95,12,13,4,21,0
193,”,238,68,0,0,215,62
194,association,61,23,9,4,12,4
195,f,105,25,34,5,10,3
196,glossary,203,17,38,3,37,1
197,get,198,35,34,7,37,5
198,l,128,42,35,7,13,8
199,signs,78,25,7,7,21,6
200,egregious,8,21,2,0,0,6
201,kind,342,79,70,9,58,13
202,15,119,53,19,10,22,14
203,caused,48,38,11,6,7,6
204,metamorphoses,71,15,21,1,9,6
205,culture,533,99,80,18,123,20
206,established,123,20,30,5,25,4
207,lindsay,12,18,4,0,2,0
208,w.,303,91,76,26,15,3
209,attractive,85,23,17,1,15,10
210,exact,55,18,14,3,14,4
211,consideration,188,41,30,9,43,2
212,merely,184,65,28,11,33,11
213,10,260,70,44,7,42,8
214,system,225,70,49,18,48,16
215,seneca,164,31,15,9,20,5
216,interpreting,81,14,9,3,17,1
217,discussing,124,23,19,3,27,3
218,apuleius,85,7,17,1,23,2
219,syntax,78,23,14,4,27,8
220,avoids,41,22,7,1,7,3
221,revised,86,18,16,3,21,8
222,devoted,178,30,30,4,30,7
223,implicit,45,19,14,3,9,4
224,divided,106,15,14,3,31,3
